titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Création de gel hydroalcoolique,Recettes de Gel  proposées par Femmes Actuelles,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.femmeactuelle.fr/sante/sante-pratique/gel-hydroalcoolique-la-recette-pour-fabriquer-son-propre-desinfectant-pour-les-mains-2092084?fbclid=IwAR12LJF9yp88oF7hAzAPhsrZTzDE2Eq_oLIXNnQYGsTl-FDkN25DDq0V1B4,-,-,-,-,-,-,NA,NA,NA,NA,https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2Ffac.2F2020.2F03.2F19.2F2e8743b9-0baa-4093-a93a-6fdc36573318.2Ejpeg/737x415/quality/90/crop-from/center/8-idees-recues-sur-les-gels-hydroalcooliques.jpeg,,,,fr,JPy,NR,,OUI,
Patron pour masque de soin en tissu (CHU Grenoble),Document PDF. Guide de fabrication de masques de protection en tissu réalisé par le CHU de Grenoble. ,SANTE,HOPITAL,DIY/PRO,MASQUE_TISSU,ANONYME,,https://cdn.discordapp.com/attachments/689052155310506005/689112495134081063/faites_vos_masques_a_la_maison.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.radiofrance.fr/s3/cruiser-production/2020/03/ee6ae602-0eac-4905-adb8-be6a501821f3/870x489_masque_tissu.webp,Masque,,,fr,JPy,NR,?,OUI,
Masque de protection facial au projection faite avec une feuille A4 transparente,"Print Settings
Printer brand:
Creality

Printer:
CR10S PRO

Rafts:
Yes

Supports:
Doesn't Matter

Resolution:
0.2

Infill:
30%",SANTE,PROTECTION,DIY,VISIERE,ANONYME,,https://www.thingiverse.com/thing:4147460,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/19/b9/c7/c6/87/featured_preview_IMG_20200205_233017.jpg,Protection,,,fr,JPy,NR,,OUI,
boitier Hepa customisable - pour valve de masque I3D,-,SANTE,HOPITAL,DIY,MASQUE_I3D/ACCESSOIRE,ANONYME,,https://www.thingiverse.com/thing:4196325,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/10/55/b9/0d/d1/large_display_IMG_3312.jpg,Protection,,,fr,JPy,NR,,OUI,
Masque de protection avec 2 filtres,-,SANTE,HOPITAL,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4217534,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/0e/5b/b3/1c/60/featured_preview_IMG_20200312_150449.jpg,Masque,,,fr,JPy,NR,,OUI,
Savegrabber - permet d'ouvrir des portes  appyer des boutons,-,SANTE,PROTECTION,DIY,PORTE,ANONYME,,https://www.thingiverse.com/thing:4192643,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/cc/a4/7b/82/0b/featured_preview_Photo-2020-03-03-07-57-15_9752.JPG,Protection,,,fr,JPy,NR,,OUI,
Masque jetable à base de filtre à café,-,SANTE,HOPITAL,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4199749,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/aa/d2/03/06/c6/featured_preview_87042125_2827484523997820_4205562350528364544_n.jpg,Masque,,,fr,JPy,NR,,OUI,
Lunettes fabriquées à partir de bouteille,-,SANTE,PROTECTION,DIY,VISIERE,ANONYME,,https://www.instructables.com/id/Soda-Bottle-Safety-Goggles./,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.instructables.com/F45/T4M6/6O4EP27RLSW/F45T4M66O4EP27RLSW.LARGE.jpg,Protection,,,fr,JPy,NR,,OUI,
3D Printed Face Mask Buckle,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,Creality,https://www.thingiverse.com/thing:4187448/files,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2011.55.14.png,Accessoire masque,,,en,CG,NR,,OUI,
Visière - Fablab ULB - CHU Saint-Pierre,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,FabLab UBL,https://gitlab.com/fablab-ulb/projects/coronavirus/protective-face-shields,-,-,-,-,-,-,NA,NA,NA,NA,https://gitlab.com/fablab-ulb/projects/coronavirus/protective-face-shields/-/raw/master/docs/images/2Masks.png,Visière,,,en,CG,UTILISE_DANS_STRUCT_MEDICALE_ETR,"Il est écrit que c'est ""Validés par les médecins hygiénistes et la direction de l’hôpital CHU Saint-Pierre à Bruxelles."" ici https://docs.google.com/document/d/1yDyYDmnSss1Gs43ypK19DpQxmCVWys-UQN4oXZqrhRo/edit?fbclid=IwAR2xFoVac-FHBHoiqAalSj1bvDw5c1raAnC9Jv3NKjNwkS-9h7n0mOXnric",OUI,
PROTOTYPE DE RESPIRATEUR - OxyGEN ,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE/ENTREPRISE,Protofy.xyz,https://www.oxygen.protofy.xyz/,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.18.37.png,Respirateur,,,en,CG,NR,,OUI,
EMERGENCY VENTILATOR SYSTEMS ,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE,ebcore,https://www.ebcore.io/?fbclid=IwAR13Fql14xM0Xty3w5cSyfWXLUfD-ML3ri8gdej-J8O8oY0X2Fq7uDSmx4o,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.19.38.png,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,
OpenLung BVM Ventilator,-,SANTE,HOPITAL,DIY/GROUPE,RESPIRATEUR_VENTILATOR,GROUPE,,https://gitlab.com/open-source-ventilator/OpenLung?fbclid=IwAR1cMnUQW_t-wksl8RsbsHRplAWurPFVD63eZi71qJ65h7G1-F9p5HA-grU,-,-,-,-,-,-,NA,NA,NA,NA,https://gitlab.com/open-source-ventilator/OpenLung/-/raw/master/images/current_concept.png,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,
InnspiraMED Open Source Mechanical Ventilators,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,ANONYME,,https://letsbeatcovid19.blogspot.com/,-,-,-,-,-,-,NA,NA,NA,NA,https://1.bp.blogspot.com/-bDmJhMmerMM/XnICXsRBd9I/AAAAAAAAJwU/0Xss_rUmZq055JhJpuidq5jS5FRYqYOXgCLcBGAsYHQ/s400/WhatsApp%2BImage%2B2020-03-17%2Bat%2B18.39.23.jpeg,,,,en,CG,NR,,OUI,
Visières pour les soignants,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,Centrale Supelec,http://lafabrique.centralesupelec.fr/visiere/,-,-,-,-,-,-,NA,NA,NA,NA,http://www.3d4care.com/img/06.jpg,Visières,,,fr,CG,UTILISE_DANS_STRUCT_MEDICALE_FR,Processus en cours le 25/03/2020,OUI,
Simply Flexible Mask Valvy,-,SANTE,PROTECTION,DIY,MASQUE_I3D,INDIVIDU,ANON,https://www.thingiverse.com/thing:4185367?fbclid=IwAR0r9Qd7JXxdsZBqOWiO45P9EO6G3LG5N-q8uoqiJa22LbZpd1gNrzwJ_6E,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.32.01.png,,,,en,CG,NR,,OUI,
EVA Covid Coronavirus Face Mask,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4223817?fbclid=IwAR2W7DFx-nmwaS_1QY3a6Ey0fz6boiVNsGeS7vJ3ZFg_0Lb_4zhG4hitGfc,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.37.04.png,,,,en,CG,NR,,OUI,
COVID-19 MASK (Easy-to-print  no support  filter required),-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4225667?fbclid=IwAR3D_VHzPU5ehzRom5Mwvy0KP0NgBiVQvrWcZcghbgjlkSRc78Jm6uh6MZk,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.37.55.png,Mask,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
COUVERTURE RÉUTILISABLE DU CADRE D'UN MASQUE FACIAL RESPIRATOIRE,Couverture extérieure du masque,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/reusable-facial-mask-frame,-,-,-,-,-,-,NA,NA,NA,NA,https://files.cults3d.com/uploaders/13368970/illustration-file/1aebd72b-7b07-4082-9b9b-1d10c050334f/try_on_large.jpg,Mask,,,fr,CG,NR,,OUI,
MINI-MASQUE POUR CORONAVIRUS COVID-19 AVEC FIL,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/mini-mascara-para-coronavirus-covid-19-con-rosca,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.41.23.png,Mask,,,fr,CG,NR,,OUI,
NanoHack,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ENTREPRISE,Copper3D,https://copper3d.com/hackthepandemic/,-,-,-,-,-,-,NA,NA,NA,NA,https://copper3d.com/wp-content/uploads/2020/03/despiece-e1584500024307.png,Mask : Ils indiquent clairement qu'une v2 va bientôt dortir et recommandent de ne plus imprimer la V1. Je ne sais pas si elle sera sur la même page web,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
MASQUE DE PROTECTION COVID-19 FFP2 / PROTECTION MASK COVID-19 FFP2,"Il s'agit d'un modèle de valve inspiré du masque ""nanoHack""  permettant de créer un masque filtrant de catégorie FFP2 avec une pastille prélevée dans un masque ffp2 jetable",SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/masque-de-protection-covid-19-ffp2,-,-,-,-,-,-,NA,NA,NA,NA,https://files.cults3d.com/uploaders/14155070/illustration-file/a96ef7ab-be17-4b1e-b368-98780dc79a44/IMG_20200323_223432_large.jpg,mask FFP2,,,en/fr,CG,NR,,OUI,
Comment faire un nasobuco ou un masque à la maison,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,http://www.juventudrebelde.cu/suplementos/asi-de-facil/2020-03-10/como-hacer-un-nasobuco-o-mascarilla-en-casa,-,-,-,-,-,-,NA,NA,NA,NA,http://www.juventudrebelde.cu/thumbs/450x/crc/images/medias/2020/03/xjXVSQ_10-03-2020_17.03.13.000000.jpg,masque en tissus ,,,es/fr,CG,NON,,OUI,
Masques de protection simplifiés pour gouttelettes d’eau - Dossier IFTH 16 Mars 2020 ,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INSTITUTION,Institut français du textile et de l'habillement,https://www.csfmodeluxe-masques.com/uploads/1/2/9/1/129160673/masques_de_protection_simplifie%CC%81_1.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.45.23.png,masques de trois niveaux,,,fr,CG,PARTIELLE,?,OUI,
facemask sewing pattern,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,ANONYME,,https://freesewing.org/blog/facemask-frenzy/,-,-,-,-,-,-,NA,NA,NA,NA,https://freesewing.org/static/3c98e65ed28e9fc11a880c4a848a57a7/30417/diana.jpg,masque tissu ,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
Basic adult face mask,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,http://antisocialartshow.org/basic-adult-face-mask/?fbclid=IwAR2Z9sx8CwOibzHHCZruqX35PblgpB6eZlYvbQJVnkS6Dt0XDMTP3oRB4Dg,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.50.29.png,,,,en ,CG,NR,,OUI,
WHO-recommended Handrub Formulations,-,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.who.int/gpsc/5may/Guide_to_Local_Production.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.52.07.png,Gel Hydroalcoolique,,,fr,CG,NR,,OUI,
Gel desinfectant à base d'étanol (français et espagnol),-,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.appropedia.org/Gel_desinfectante_a_base_de_etanol,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.52.44.png,Gel Hydroalcoolique,,,fr/es,CG,NR,,OUI,
Minimal Universal Respirator - Prototype de respirateur en France,-,SANTE,HOPITAL,DIY/INDUSTRIEL,RESPIRATEUR_VENTILATOR,GROUPE,,https://www.mur-project.org/,-,-,-,-,-,-,NA,NA,NA,NA,https://www.mur-project.org/medias/index.jpg,respirateur,,,fr/en,CG,NR,En cours le 25/03 validation prévue pour la fin de semaine (28 ou 29 Mars),OUI,
Homemade box UV C for sterilization,-,SANTE,HYGIENE,DIY,AUTRE,INDIVIDU,,https://www.youtube.com/watch?v=gYwhYv1uIUI,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.02.19.png,Boite de stérilisation,,,en,CG,NR,,OUI,
DIY face mask,,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INDIVIDU,Taiwanese doctor,https://mustsharenews.com/cloth-face-mask/,-,-,-,-,-,-,NA,NA,NA,NA,https://mustsharenews.com/wp-content/uploads/2020/02/cloth-face-mask-18.jpg,Masque en tissu avec ouvereture,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
Face mask Fabric (Chinese pdf),,SANTE,PROTECTION,DIY,MASQUE_TISSU,ANONYME,,https://www.pref.oita.jp/uploaded/attachment/2070448.pdf,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.04.50.png,Masque en tissu avec ouvereture,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=1,OUI,
DIY Cloth Face Mask,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.instructables.com/id/DIY-Cloth-Face-Mask/,,,-,-,-,-,NA,NA,NA,NA,https://content.instructables.com/FQK/R1J1/K7RRAY95/FQKR1J1K7RRAY95.LARGE.jpg?auto=webp&frame=1&width=667&height=1024&fit=bounds,,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
How to make a Face Mask (US),,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INSTITUTION,Deaconess,https://www.deaconess.com/How-to-make-a-Face-Mask,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.08.14.png,Tuto d'un hopital dans l'Indiana,,,en,CG,NR,Sur leur page ils precisent bien qu'ils ne peuvent pas respecter les normes habituelles,OUI,
Reusable DIY Cloth Mask with Disposable Middle Layer Filter,,SANTE,PROTECTION,DIY,MASQUE_TISSU,-,,https://diymask.site/,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/DIYMask/DIYmask.github.io/version2/img/HKMask_dimension.png,Tuto a base d'objets du quotidien,,,en/chi,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
SEWING INSTRUCTIONS FOR THE FACE MASK PATTERN - Belgium Public Health,,PROTECTION,PROTECTION,DIY,MASQUE_TISSU,INSTITUTION,Belgium Public Health,https://makefacemasks.com/,,,-,-,-,-,NA,NA,NA,NA,https://makefacemasks.com/assets/img/hero-img.png,guidelines en belgique,,,en,CG,-,Approved by the FPS Public Health,OUI,
Mask COVID-19 - 3D printed,,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:3186997,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.10.47.png,etrange,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
Free mask pattern and instructions!,,SANTE,PROTECTION,DIY,MASQUE_TISSU,-,,https://imgur.com/gallery/p517T4h,,,-,-,-,-,NA,NA,NA,NA,https://i.imgur.com/pdO7tn3.jpeg,masque tissu ,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=1,OUI,
Face Mask Hook - 3D printed,,SANTE,PROTECTION,DIY,MASQUE_I3D,INDIVIDU,,https://www.thingiverse.com/thing:4225191,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.13.18.png,Accessoire  attache de masque en i3D,,,en/chi,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=2,OUI,
3D Printable Air Tight Filter Mask (Experimental),,SANTE,PROTECTION,DIY,MASQUE_I3D,-,,https://hackaday.io/project/170487-3d-printable-air-tight-filter-mask-experimental,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.14.25.png,forme originale,,,fr,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=3,OUI,
Masque thermoformé prototype,,SANTE,PROTECTION,DIY,MASQUE_I3D,INDIVIDU,,https://www.thingiverse.com/thing:4231076,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.19.06.png,il annonce thermoformé mais aussi I3D,,,fr,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=4,OUI,
FACE MASK PATTERN,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://hellosewing.com/face-mask-sewing-pattern/,,,-,-,-,-,NA,NA,NA,NA,https://hellosewing.com/wp-content/uploads/face-mask-diy-featured-680x510.jpg,,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=5,OUI,
Sewing Fabric Face Masks,,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INSTITUTION,Unity Point Health (USA),https://www.unitypoint.org/cedarrapids/sewing-surgical-masks.aspx,,,-,-,-,-,NA,NA,NA,NA,https://www.unitypoint.org/cedarrapids/filesimages/Coronavirus/IMG_3295%20(1).jpg,diffusé par  un centre hospitalier au USA,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=6,OUI,
Vaccum formed sealed mask,,SANTE,PROTECTION,DIY,MASQUE_I3D,INDIVIDU,,https://www.thingiverse.com/thing:4234487,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.25.13.png,Forme originale : Vaccum formed et 3D printed ,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=7,OUI,
